Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
5,96.03314,96.03314,94.15268,96.97338,95.71973,95.87644,96.03314,95.87644,95.24962
10,91.33951,89.39928,90.18281,89.71269,89.08587,87.36211,90.33951,90.80963,88.30234
15,83.2212,81.98189,79.94472,79.78801,81.98189,81.98189,82.92212,82.76541,83.07883
20,78.26731,77.12402,73.93767,73.93767,75.71367,76.02708,76.96731,75.24355,77.43743
25,76.95696,75.24355,72.21391,72.21391,73.46756,74.25108,75.55696,72.68403,75.55696
30,75.59438,71.43039,69.23651,70.80356,70.17674,70.49015,74.09438,69.39321,74.25108
35,73.45721,68.60969,67.04263,68.29628,66.72922,69.54992,72.05721,66.20687,71.58709
40,70.53651,65.58005,64.1697,64.95323,61.1923,66.57252,69.23651,62.13253,68.9231
45,68.49934,62.91606,64.1697,64.48311,58.5283,65.26664,67.19934,60.72218,68.13957
50,66.99346,61.81912,62.60264,62.91606,56.12549,63.69958,65.89346,58.84171,66.72922
55,65.68311,59.93865,60.25206,61.1923,52.83467,62.28923,64.48311,57.74477,64.95323
60,64.99629,57.90148,57.74477,59.62524,50.7975,60.87888,63.85629,56.90901,63.54288
65,63.90264,56.5956,55.49866,58.05819,48.55139,58.84171,62.60264,55.65537,62.13253
70,62.96241,54.55843,52.99138,57.22242,45.57398,58.5283,61.66241,55.18525,61.03559
75,61.70877,53.30479,51.73773,55.65537,43.2234,56.90901,60.40877,53.93161,60.25206
80,60.84171,51.11091,50.32738,53.30479,39.41023,55.65537,58.84171,51.42432,58.21489
85,57.96572,49.38715,48.55139,52.05114,38.15659,53.93161,57.06572,51.89444,57.22242
90,56.91207,48.76033,46.98433,50.7975,36.43283,53.30479,55.81207,50.7975,55.81207
95,56.71514,47.14104,44.79046,50.17068,35.4926,51.73773,54.71514,50.01397,55.02855
100,55.55843,45.26057,43.0667,49.23044,34.55237,50.9542,54.55843,49.38715,54.40172
