Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
5,93.80671,93.60671,93.23767,93.23767,95.34646,94.13391,93.12048,93.60671,93.92303
10,86.27864,83.64265,84.69704,84.01169,86.27864,83.43177,85.43512,85.75144,83.64265
15,80.95393,77.4217,78.10706,77.21082,79.0033,80.05769,84.01169,77.21082,77.79074
20,80.62673,77.4217,76.15642,75.47106,76.3673,79.74137,80.05769,75.26018,77.4217
25,77.61794,72.99323,72.25515,72.25515,69.61916,76.68362,76.8945,70.83171,72.78235
30,75.97986,70.98987,69.77732,70.67355,66.40324,73.83675,77.05266,67.6158,72.78235
35,73.99826,65.66516,65.87604,68.72292,63.39821,72.25515,75.62922,64.97981,70.83171
40,72.62922,63.02917,63.55637,64.82165,59.6551,70.67355,72.99323,62.66013,68.51204
45,70.41331,61.97477,59.1279,63.39821,56.43918,69.61916,70.83171,61.39485,67.29948
50,67.99323,59.28606,55.38479,61.97477,55.01575,68.88108,68.19572,61.39485,65.87604
55,67.39323,57.70446,54.64671,61.23669,52.90695,68.72292,67.51204,61.39485,66.5614
60,66.09699,54.85759,50.74543,56.96638,49.00568,66.40324,66.40324,59.6551,64.24173
65,64.14635,53.96135,49.53288,53.96135,44.89353,63.92541,63.55637,56.28102,62.66013
70,63.19572,51.48351,46.31696,50.95631,40.46506,62.81829,63.18733,54.85759,61.97477
75,62.6158,49.8492,44.20817,49.00568,40.62322,61.39485,62.50197,55.54294,60.02414
80,61.40324,49.69104,41.67761,49.53288,37.4073,60.70949,61.39485,55.54294,58.91702
85,60.19236,48.2676,39.72698,49.53288,38.14538,59.44422,58.02078,55.75382,58.38982
90,59.55637,47.7404,38.30354,48.7948,37.77634,58.91702,56.28102,54.33039,57.86262
95,58.45261,47.37136,36.56378,47.89856,36.19474,58.6007,55.01575,54.48855,57.33542
100,57.39821,43.99729,34.40227,45.94792,34.03323,56.96638,53.96135,53.06511,56.07014
